"id","name","price","stock","description","category","mainImageName","variantImages"
3554,"9505 MİARTE","3689",40,"Nebim Kod: 24Y0029505","Diğer","",""
3555,"9506 MİARTE","3199",80,"Nebim Kod: 24Y0029506","Diğer","",""
3556,"9507 MİARTE","2999",40,"Nebim Kod: 24Y0029507","Diğer","",""
3557,"9509 MİARTE","4229",40,"Nebim Kod: 24Y0029509","Diğer","",""
3558,"23033 ODRELLA","4499",200,"Nebim Kod: 24Y00423033","Diğer","",""
3559,"23239 ODRELLA","7499",250,"Nebim Kod: 24Y00423239","Diğer","",""
3560,"23307 ODRELLA","7499",60,"Nebim Kod: 24Y00423307","Diğer","",""
3561,"24004 ODRELLA","6499",90,"Nebim Kod: 24Y00424004","Diğer","",""
3562,"24018 ODRELLA","4499",60,"Nebim Kod: 24Y00424018","Diğer","",""
3563,"24027 ODRELLA","5999",60,"Nebim Kod: 24Y00424027","Diğer","",""
3564,"24038 ODRELLA","7999",60,"Nebim Kod: 24Y00424038","Diğer","",""
3565,"24039 ODRELLA","3999",60,"Nebim Kod: 24Y00424039","Diğer","",""
3566,"24041 ODRELLA","4499",60,"Nebim Kod: 24Y00424041","Diğer","",""
3567,"24045 ODRELLA","4499",30,"Nebim Kod: 24Y00424045","Diğer","",""
3568,"24057 ODRELLA","4499",60,"Nebim Kod: 24Y00424057","Diğer","",""
3569,"24059 ODRELLA","4999",90,"Nebim Kod: 24Y00424059","Diğer","",""
3570,"24065 ODRELLA","6499",150,"Nebim Kod: 24Y00424065","Diğer","",""
3571,"24068 ODRELLA","3999",90,"Nebim Kod: 24Y00424068","Diğer","",""
3572,"24073 ODRELLA","8999",60,"Nebim Kod: 24Y00424073","Diğer","",""
3573,"24076 ODRELLA","6499",60,"Nebim Kod: 24Y00424076","Diğer","",""
3574,"24082 ODRELLA","5999",60,"Nebim Kod: 24Y00424082","Diğer","",""
3575,"24092 ODRELLA","4499",130,"Nebim Kod: 24Y00424092","Diğer","",""
3576,"24102 ODRELLA","5999",60,"Nebim Kod: 24Y00424102","Diğer","",""
3577,"24107 ODRELLA","3999",40,"Nebim Kod: 24Y00424107","Diğer","",""
3578,"24144 ODRELLA","6999",150,"Nebim Kod: 24Y00424144","Diğer","",""
3579,"24150 ODRELLA","6099",100,"Nebim Kod: 24Y00424150","Diğer","",""
3580,"24155 ODRELLA","6999",30,"Nebim Kod: 24Y00424155","Diğer","",""
3581,"24160 ODRELLA","4999",90,"Nebim Kod: 24Y00424160","Diğer","",""
3582,"24175 ODRELLA","9999",60,"Nebim Kod: 24Y00424175","Diğer","",""
3583,"24178 ODRELLA","6999",60,"Nebim Kod: 24Y00424178","Diğer","",""
3584,"24186 ODRELLA","4999",60,"Nebim Kod: 24Y00424186","Diğer","",""
3585,"24191 ODRELLA","8399",60,"Nebim Kod: 24Y00424191","Diğer","",""
3586,"24200 ODRELLA","4999",40,"Nebim Kod: 24Y00424200","Diğer","",""
3587,"7342 ODRELLA","9900",60,"Nebim Kod: 24Y0047342","Diğer","",""
3588,"7349 ODRELLA","6499",40,"Nebim Kod: 24Y0047349","Diğer","",""
3589,"7353 ODRELLA","8999",60,"Nebim Kod: 24Y0047353","Diğer","",""
3590,"7356 ODRELLA","7999",60,"Nebim Kod: 24Y0047356","Diğer","",""
3591,"7361 ODRELLA","9900",60,"Nebim Kod: 24Y0047361","Diğer","",""
3592,"7366 ODRELLA","7999",80,"Nebim Kod: 24Y0047366","Diğer","",""
3593,"7380 ODRELLA","7499",90,"Nebim Kod: 24Y0047380","Diğer","",""
3594,"7390 ODRELLA","8999",40,"Nebim Kod: 24Y0047390","Diğer","",""
3595,"7391 ODRELLA","9999",60,"Nebim Kod: 24Y0047391","Diğer","",""
3596,"7395 ODRELLA","11999",60,"Nebim Kod: 24Y0047395","Diğer","",""
3597,"7396 ODRELLA","9999",90,"Nebim Kod: 24Y0047396","Diğer","",""
3598,"7399 ODRELLA","9999",60,"Nebim Kod: 24Y0047399","Diğer","",""
3599,"7402 ODRELLA","9999",60,"Nebim Kod: 24Y0047402","Diğer","",""
3600,"7408 ODRELLA","7499",120,"Nebim Kod: 24Y0047408","Diğer","",""
3601,"7411 ODRELLA","6499",60,"Nebim Kod: 24Y0047411","Diğer","",""
3602,"7421 ODRELLA","7499",90,"Nebim Kod: 24Y0047421","Diğer","",""
3603,"7449 ODRELLA","7499",60,"Nebim Kod: 24Y0047449","Diğer","",""
3604,"7453 ODRELLA","7499",60,"Nebim Kod: 24Y0047453","Diğer","",""
3605,"7486 ODRELLA","6999",150,"Nebim Kod: 24Y0047486","Diğer","",""
3606,"7487 ODRELLA","6999",60,"Nebim Kod: 24Y0047487","Diğer","",""
3607,"7504 ODRELLA","4999",30,"Nebim Kod: 24Y0047504","Diğer","",""
3608,"7505 ODRELLA","6099",150,"Nebim Kod: 24Y0047505","Diğer","",""
3609,"7507 ODRELLA","7899",190,"Nebim Kod: 24Y0047507","Diğer","",""
3610,"7510 ODRELLA","7999",90,"Nebim Kod: 24Y0047510","Diğer","",""
3611,"7517 ODRELLA","4999",90,"Nebim Kod: 24Y0047517","Diğer","",""
3612,"7536 ODRELLA","8999",80,"Nebim Kod: 24Y0047536","Diğer","",""
3613,"7541 ODRELLA","7999",220,"Nebim Kod: 24Y0047541","Diğer","",""
3614,"7543 ODRELLA","6999",30,"Nebim Kod: 24Y0047543","Diğer","",""
3615,"7550 ODRELLA","8799",100,"Nebim Kod: 24Y0047550","Diğer","",""
3616,"7557 ODRELLA","9999",60,"Nebim Kod: 24Y0047557","Diğer","",""
3617,"7558 ODRELLA","9999",60,"Nebim Kod: 24Y0047558","Diğer","",""
3618,"7559 ODRELLA","8999",100,"Nebim Kod: 24Y0047559","Diğer","",""
3619,"7573 ODRELLA","7999",90,"Nebim Kod: 24Y0047573","Diğer","",""
3620,"7599 ODRELLA","4999",120,"Nebim Kod: 24Y0047599","Diğer","",""
3621,"7601 ODRELLA","4999",60,"Nebim Kod: 24Y0047601","Diğer","",""
3622,"7602 ODRELLA","6999",30,"Nebim Kod: 24Y0047602","Diğer","",""
3623,"7619 ODRELLA","12599",100,"Nebim Kod: 24Y0047619","Diğer","",""
3624,"7622 ODRELLA","12599",60,"Nebim Kod: 24Y0047622","Diğer","",""
3625,"7626 ODRELLA","7999",80,"Nebim Kod: 24Y0047626","Diğer","",""
3626,"7636 ODRELLA","7999",60,"Nebim Kod: 24Y0047636","Diğer","",""
3627,"7648 ODRELLA","7999",60,"Nebim Kod: 24Y0047648","Diğer","",""
3628,"7649 ODRELLA","4999",60,"Nebim Kod: 24Y0047649","Diğer","",""
3629,"7762 ODRELLA","9999",30,"Nebim Kod: 24Y0047762","Diğer","",""
3630,"7768 ODRELLA","7999",60,"Nebim Kod: 24Y0047768","Diğer","",""
3631,"7773 ODRELLA","7999",60,"Nebim Kod: 24Y0047773","Diğer","",""
3632,"7778 ODRELLA","7999",30,"Nebim Kod: 24Y0047778","Diğer","",""
3633,"57037 MAXRA GOVANA","7999",40,"Nebim Kod: 24Y00607037","Diğer","",""
3634,"54696 MAXRA GOVANA","6999",30,"Nebim Kod: 24Y00654696","Diğer","",""
3635,"54753 MAXRA GOVANA","6499",200,"Nebim Kod: 24Y00654753","Diğer","",""
3636,"55097 MAXRA GOVANA","4999",80,"Nebim Kod: 24Y00655097","Diğer","",""
3637,"55503 MAXRA GOVANA","7999",40,"Nebim Kod: 24Y00655503","Diğer","",""
3638,"55936 MAXRA GOVANA","4999",90,"Nebim Kod: 24Y00655936","Diğer","",""
3639,"56151 MAXRA GOVANA","6499",120,"Nebim Kod: 24Y00656151","Diğer","",""
3640,"56184 MAXRA GOVANA","8999",30,"Nebim Kod: 24Y00656184","Diğer","",""
3641,"56186 MAXRA GOVANNA","9599",80,"Nebim Kod: 24Y00656186","Diğer","",""
3642,"56395 MAXRA GOVANA","11999",40,"Nebim Kod: 24Y00656395","Diğer","",""
3643,"56493 MAXRA GOVANA","6999",80,"Nebim Kod: 24Y00656493","Diğer","",""
3644,"56522 MAXRA GOVANA","4999",60,"Nebim Kod: 24Y00656522","Diğer","",""
3645,"56604 MAXRA GOVANA","6999",120,"Nebim Kod: 24Y00656604","Diğer","",""
3646,"56616 MAXRA GOVANA","6999",80,"Nebim Kod: 24Y00656616","Diğer","",""
3647,"56635 MAXRA GOVANA","7999",290,"Nebim Kod: 24Y00656635","Diğer","",""
3648,"56649 MAXRA GOVANA","6999",60,"Nebim Kod: 24Y00656649","Diğer","",""
3649,"56651 MAXRA GOVANA","6499",80,"Nebim Kod: 24Y00656651","Diğer","",""
3650,"56662 MAXRA GOVANA","6999",140,"Nebim Kod: 24Y00656662","Diğer","",""
3651,"56676 MAXRA GOVANA","6499",80,"Nebim Kod: 24Y00656676","Diğer","",""
3652,"56784 MAXRA GOVANA","4999",180,"Nebim Kod: 24Y00656784","Diğer","",""
3653,"56815 MAXRA GOVANA","6999",120,"Nebim Kod: 24Y00656815","Diğer","",""
3654,"56852 MAXRA GOVANA","6999",40,"Nebim Kod: 24Y00656852","Diğer","",""
3655,"56870 MAXRA GOVANA","7999",50,"Nebim Kod: 24Y00656870","Diğer","",""
3656,"56887 MAXRA GOVANA","6999",180,"Nebim Kod: 24Y00656887","Diğer","",""
3657,"56935 MAXRA GOVANA","6999",180,"Nebim Kod: 24Y00656935","Diğer","",""
3658,"56946 MAXRA GOVANA","7999",40,"Nebim Kod: 24Y00656946","Diğer","",""
3659,"56949 MAXRA GOVANA","7999",100,"Nebim Kod: 24Y00656949","Diğer","",""
3660,"56952 MAXRA GOVANA","7999",80,"Nebim Kod: 24Y00656952","Diğer","",""
3661,"56966 MAXRA GOVANA","7999",50,"Nebim Kod: 24Y00656966","Diğer","",""
3662,"56976 MAXRA GOVANA","5999",50,"Nebim Kod: 24Y00656976","Diğer","",""
3663,"56983 MAXRA GOVANA","8999",110,"Nebim Kod: 24Y00656983","Diğer","",""
3664,"","7999",40,"Nebim Kod: 24Y00657037","Genel","",""
3665,"57044 MAXRA GOVANA","9999",40,"Nebim Kod: 24Y00657044","Diğer","",""
3666,"57070 MAXRA GOVANNA","12999",40,"Nebim Kod: 24Y00657070","Diğer","",""
3667,"57087 MAXRA GOVANA","7999",40,"Nebim Kod: 24Y00657087","Diğer","",""
3668,"57090 MAXRA GOVANA","8999",80,"Nebim Kod: 24Y00657090","Diğer","",""
3669,"57102 MAXRA GOVANA","14999",20,"Nebim Kod: 24Y00657102","Diğer","",""
3670,"57108 MAXRA GOVANA","4999",60,"Nebim Kod: 24Y00657108","Diğer","",""
3671,"57109 MAXRA GOVANA","14999",40,"Nebim Kod: 24Y00657109","Diğer","",""
3672,"57140 MAXRA GOVANNA","6999",90,"Nebim Kod: 24Y00657140","Diğer","",""
3673,"57179 MAXRA GOVANA","7999",100,"Nebim Kod: 24Y00657179","Diğer","",""
3674,"57182 MAXRA GOVANA","8999",40,"Nebim Kod: 24Y00657182","Diğer","",""
3675,"57193 MAXRA GOVANA","8999",130,"Nebim Kod: 24Y00657193","Diğer","",""
3676,"57367 MAXRA GOVANA","11999",40,"Nebim Kod: 24Y00657367","Diğer","",""
3677,"57374 MAXRA GOVANA","7999",40,"Nebim Kod: 24Y00657374","Diğer","",""
3678,"57375 MAXRA GOVANA","11999",40,"Nebim Kod: 24Y00657375","Diğer","",""
3679,"2229 İMZA","1999",40,"Nebim Kod: 24Y0072229","Diğer","",""
3680,"2250 İMZA","2599",80,"Nebim Kod: 24Y0072250","Diğer","",""
3681,"2252 İMZA","2999",40,"Nebim Kod: 24Y0072252","Diğer","",""
3682,"2254 İMZA","2199",80,"Nebim Kod: 24Y0072254","Diğer","",""
3683,"2258 İMZA","2449",80,"Nebim Kod: 24Y0072258","Diğer","",""
3684,"3054 İMZA","4999",80,"Nebim Kod: 24Y0073054","Diğer","",""
3685,"3058 İMZA","5999",80,"Nebim Kod: 24Y0073058","Diğer","",""
3686,"5169 İMZA","2499",80,"Nebim Kod: 24Y0075169","Diğer","",""
3687,"5170 İMZA","2399",80,"Nebim Kod: 24Y0075170","Diğer","",""
3688,"5172 İMZA","5999",210,"Nebim Kod: 24Y0075172","Diğer","",""
