productCode,imageName
"3360 POZDA POZ Beyaz","3360 POZDA POZ Beyaz.jpg"
"3360 POZDA POZ Fuşya","3360 POZDA POZ Fuşya.jpg"
"3360 POZDA POZ Beyaz","3360 POZDA POZ Beyaz.jpg"
"3360 POZDA POZ Fuşya","3360 POZDA POZ Fuşya.jpg"
