productCode,variantSize,variantColor,variantImage,variantStock
"3360 POZDA POZ","36","Beyaz","3360 POZDA POZ Beyaz.jpg",""
"3360 POZDA POZ","36","Fuşya","3360 POZDA POZ Fuşya.jpg",""
